No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2
5,5,1,14.68833333,14.555,6043.3,-116.912094,32.545862,-116.961796,32.525307,2.445,INCREMENTO,1
6,5,1,14.77694444,25.32666667,10042.9,-116.964008,32.507142,-116.982092,32.44852,-4.309999997,DP,2
6,5,1,15.74777778,0.911666667,254.5,-116.940785,32.48451,-116.943358,32.485235,1.088333333,INCREMENTO,1
1,5,1,17.09861111,3.575,1314.8,-116.872807,32.479294,-116.868749,32.487688,-0.075,INCREMENTO,1
2,5,1,18.21916667,6.915,3978.2,-116.917025,32.468055,-116.885142,32.448112,0.368333333,INCREMENTO,1
1,5,1,18.59361111,13.88,5353.7,-116.873923,32.529035,-116.868564,32.494301,18.88666667,INCREMENTO,1
5,5,1,20.81388889,4.851666667,1408.9,-116.95146,32.49514,-116.94336,32.486272,-1.918333334,DP,2
1,5,1,21.71222222,4.513333333,1448.2,-116.960709,32.509454,-116.969768,32.508274,-1.713333333,INCREMENTO,1
3,5,1,22.435,1.553333333,412.4,-116.883164,32.489051,-116.881615,32.487003,-0.553333333,INCREMENTO,1
4,6,1,8.815555556,13.74666667,13831.9,-116.902688,32.454063,-117.010043,32.525565,-2.446666667,DP,2
5,6,1,9.151666667,5.518333333,2188.8,-116.962124,32.508326,-116.961299,32.515616,-1.518333333,INCREMENTO,1
5,6,1,9.368333333,10.85166667,4085.5,-116.961045,32.515326,-116.985553,32.507859,-2.851666667,DP,2
2,6,1,9.686666667,3.075,1443.4,-116.870538,32.451942,-116.884692,32.448667,-1.075,INCREMENTO,1
4,6,1,10.2975,4.975,1237.7,-116.860612,32.493378,-116.868797,32.494255,0.408333333,INCREMENTO,1
1,6,1,10.41361111,3.68,2179.3,-116.901994,32.454064,-116.885261,32.44822,-0.68,INCREMENTO,1
1,6,1,12.39055556,2.143333333,658.4,-116.877049,32.456382,-116.877095,32.456262,-1.91,DP,2
6,6,1,12.72888889,11.45166667,3215.1,-116.980648,32.489448,-116.963948,32.50688,-3.785,DP,2
5,6,1,16.11222222,8.716666667,2840.8,-116.948756,32.503192,-116.963962,32.50695,-2.716666667,DP,2
6,6,1,20.00111111,1.271666667,265.9,-116.962575,32.50862,-116.96413,32.506782,1.511666666,INCREMENTO,1
6,6,1,21.47333333,21.695,15643.3,-116.942865,32.472197,-117.010018,32.525443,-6.07833333,DP,2
3,7,1,0.943611111,49.74333333,30115.4,-116.924377,32.468495,-116.87427,32.35676,-28.81,DM,3
7,7,1,6.608611111,13.46,3084.5,-116.872608,32.434039,-116.884728,32.448698,-6.46,DP,2
1,7,1,7.060555556,21.85,16838.9,-117.009994,32.526666,-116.885197,32.448186,-9.98333333,DM,3
6,7,1,7.785,2.485,721.1,-116.948797,32.521778,-116.944803,32.5245,0.031666667,INCREMENTO,1
2,7,1,8.231666667,7.5,2017.2,-116.963917,32.507027,-116.979062,32.503582,-2,DP,2
5,7,1,8.877777778,0.906666667,385.1,-116.966877,32.515634,-116.96929,32.516839,-0.156666667,INCREMENTO,1
5,7,1,10.44,25.49166667,11963.8,-116.968775,32.470524,-117.009997,32.525465,-10.49166667,DM,3
4,7,1,11.07805556,3.773333333,1803.4,-116.869027,32.443773,-116.88515,32.448083,0.793333334,INCREMENTO,1
2,7,1,11.50833333,18.91166667,10832.2,-116.856227,32.462175,-116.926417,32.476325,-5.178333337,DP,2
5,7,1,12.16472222,12.63333333,6747.7,-116.925943,32.475249,-116.963991,32.506859,-4.816666666,DP,2
6,7,1,12.34972222,2.531666667,820.9,-116.967045,32.511908,-116.964087,32.506775,-0.465,INCREMENTO,1
4,7,1,13.66666667,0.895,104.8,-117.010925,32.525753,-117.010002,32.525508,0.505,INCREMENTO,1
5,7,1,14.24888889,29.33,1288.8,-116.978663,32.452606,-116.979532,32.446881,-23.33,DM,3
4,7,1,18.96666667,6.913333333,5552.9,-116.885187,32.448128,-116.919897,32.461863,-0.496666666,INCREMENTO,1
6,7,1,19.02027778,12.53666667,4048.9,-116.94367,32.48519,-116.926377,32.476387,-7.453333334,DM,3
2,7,1,19.38472222,6.581666667,3801.7,-116.917592,32.461253,-116.885112,32.448768,-2.131666667,DP,2
7,7,1,19.81805556,8.668333333,4587.5,-116.918899,32.473193,-116.885211,32.44812,-2.568333333,DP,2
4,7,1,21.345,12.38833333,10448.4,-116.904618,32.454427,-116.957922,32.506897,-5.888333333,DP,2
7,7,1,21.98638889,12.60666667,10566.5,-116.961358,32.505185,-116.885164,32.448099,-4.04,DP,2
5,7,1,22.2425,19.06,12270.4,-116.892823,32.548957,-116.96297,32.516561,-5.06,DP,2
4,7,1,22.73972222,2.17,873.2,-116.678767,32.453173,-116.68255,32.45499,0.813333333,INCREMENTO,1
7,7,1,23.02416667,12.01833333,8597.9,-116.882313,32.446194,-116.842245,32.472064,-3.085,DP,2
7,7,1,23.04083333,10.85333333,8186.8,-116.871605,32.444889,-116.842245,32.472064,-2.92,DP,2
1,7,1,23.10027778,33.24333333,14669.3,-116.840666,32.487951,-116.965472,32.505491,-1.560000003,INCREMENTO,1
6,7,1,23.11972222,6.155,2136.6,-116.94854,32.532295,-116.934042,32.52561,-2.188333333,DP,2
