No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2,,,
5,3,2,12.97166667,25.33333333,24519,-116.926494,32.515921,-117.091796,32.530633,-8.316666667,DM,3,,,
5,3,2,14.41805556,9.533333333,3781,-116.946394,32.49489,-116.926424,32.476401,-2.533333333,DP,2,,,
2,3,2,14.90638889,8.066666667,4334,-116.925397,32.462158,-116.885648,32.460333,-0.333333333,INCREMENTO,1,,,
2,3,2,15.24083333,5.466666667,1333,-116.885682,32.46037,-116.874142,32.460143,-1.033333333,INCREMENTO,1,,,
4,3,2,15.82638889,3.866666667,819,-116.880225,32.461322,-116.874135,32.460182,-1.15,INCREMENTO,1,,,
2,3,2,16.34416667,0.75,309,-116.73312,32.505493,-116.733445,32.508242,0.25,INCREMENTO,1,,,
6,3,2,16.88972222,8.083333333,1576,-117.010057,32.525527,-117.010772,32.535565,0.25,INCREMENTO,1,,,
2,3,2,16.92194444,35.26666667,17833,-116.774188,32.475515,-116.926352,32.476365,-2.45,DP,2,,,
5,3,2,17.85416667,5.933333333,2857,-116.985263,32.513395,-116.964051,32.506809,0.066666667,INCREMENTO,1,,,
3,3,2,18.23805556,6.883333333,4695,-117.002568,32.51919,-117.011713,32.525841,-4.883333333,DP,2,,,
7,3,2,18.84888889,14.65,11024,-117.035763,32.443388,-117.061441,32.503401,-3.716666667,DP,2,,,
1,3,2,20.63916667,30.41666667,11439,-116.964528,32.426075,-116.87742,32.446399,0.05,INCREMENTO,1,,,
3,3,2,20.84944444,1.7,594,-116.867248,32.499071,-116.868814,32.494309,0.3,INCREMENTO,1,,,
5,3,2,23.40555556,13.91666667,5609,-117.008832,32.522257,-116.964015,32.506813,-6.916666667,DP,2,,,
1,4,2,2.207222222,75.11666667,31086,-117.010151,32.526563,-116.932716,32.375615,-49.1,DM,3,,,
2,4,2,7.542777778,13.71666667,8090,-116.884957,32.44794,-116.926675,32.470207,-1.366666667,INCREMENTO,1,,,
4,4,2,7.918611111,8.216666667,3322,-116.873617,32.467808,-116.868488,32.494287,0.9,INCREMENTO,1,,,
3,4,2,8.031388889,8.616666667,3427,-116.897676,32.459381,-116.9105,32.476243,4.383333333,INCREMENTO,1,,,
6,4,2,8.335,2.083333333,707,-116.916433,32.537567,-116.916968,32.541888,-0.316666667,INCREMENTO,1,,,
5,4,2,8.602777778,6.4,3971,-116.929994,32.48094,-116.92848,32.477268,-5.4,DP,2,,,
4,4,2,9.338333333,10.61666667,5177,-116.933543,32.546518,-116.96326,32.518163,-0.483333333,INCREMENTO,1,,,
5,4,2,9.352777778,5.066666667,1376,-116.986777,32.517602,-116.990014,32.510286,-2.166666667,DP,2,,,
3,4,2,9.981944444,6.733333333,3657,-116.894134,32.457396,-116.88082,32.463005,-2.733333333,DP,2,,,
3,4,2,11.99,2.283333333,650,-116.960521,32.496763,-116.965741,32.498693,-0.283333333,INCREMENTO,1,,,
4,4,2,12.63583333,2.183333333,435,-116.859935,32.522778,-116.85698,32.523505,0.533333333,INCREMENTO,1,,,
6,4,2,13.29805556,18.73333333,12246,-116.890455,32.546635,-116.9641,32.506772,1.333333333,INCREMENTO,1,,,
6,4,2,14.85194444,4.816666667,1877,-116.962815,32.515593,-116.963502,32.509008,0.9,INCREMENTO,1,,,
5,4,2,15.08833333,17.35,7218,-116.964229,32.510072,-116.962431,32.46778,-1.35,INCREMENTO,1,,,
5,4,2,16.62777778,1.25,278,-116.925519,32.476464,-116.926049,32.476454,0.766666667,INCREMENTO,1,,,
3,4,2,16.88027778,15,15707,-117.009856,32.522649,-116.885177,32.448174,-1.283333333,INCREMENTO,1,,,
