No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2
5,7,3,17.93333333,12.13333333,4090,-116.965583,32.505229,-116.977577,32.481675,-6.133333333,DP,2
10,7,3,18.25,15.7,7771,-116.926098,32.475903,-116.957073,32.5043,-5.7,DP,2
2,7,3,18.5,25.7,10170,-116.885267,32.44826,-116.94535,32.430812,-10.7,DM,3
1,7,3,18.56666667,21.01666667,7603,-116.897354,32.456179,-116.956407,32.462702,-3.016666667,DP,2
6,7,3,18.5,36.16666667,11720,-116.95251,32.533698,-116.956427,32.462807,-14.16666667,DM,3
2,7,3,19.26666667,30.66666667,16167,-116.924977,32.462572,-116.782532,32.465678,-11.66666667,DM,3
6,7,3,19.9,17.15,4666,-116.963913,32.506975,-116.980932,32.481832,-4.15,DP,2
5,7,3,20.05,16.75,8188,-116.962661,32.508497,-116.931452,32.540491,-6.75,DP,2
10,7,3,20.51666667,20.11666667,8144,-116.99352,32.477595,-116.991507,32.426633,-2.116666667,DP,2
2,7,3,20.6,11.18333333,3538,-116.885153,32.448117,-116.873423,32.46625,-5.183333333,DP,2
6,7,3,21.46666667,2.016666667,273,-116.970035,32.508417,-116.97274,32.509287,-0.016666667,INCREMENTO,1
10,7,3,22.26666667,33.11666667,11331,-116.963958,32.506927,-116.97705,32.44169,-16.11666667,DM,3
4,7,3,22.3,10.48333333,4248,-116.885097,32.448117,-116.846163,32.465695,-0.483333333,INCREMENTO,1
2,1,3,0.266666667,13.58333333,3707,-116.873623,32.468042,-116.857697,32.492288,-2.583333333,DP,2
6,1,3,2.616666667,14.06666667,4208,-116.963918,32.506932,-116.989992,32.480875,-9.066666667,DM,3
5,1,3,6.766666667,7.116666667,5198,-116.965556,32.505583,-116.999717,32.473409,-1.116666667,INCREMENTO,1
10,1,3,6.85,4.533333333,2970,-116.963002,32.508065,-116.952322,32.519833,0.466666667,INCREMENTO,1
7,1,3,7.083333333,24.38333333,10894,-117.033918,32.505296,-117.102246,32.466432,-9.383333333,DM,3
5,1,3,7.216666667,21.16666667,12891,-116.958854,32.50074,-116.886967,32.550786,-2.166666667,DP,2
